flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,4095,4095,4095,4.46,2.51,-8.69,-0.02,-0.00,comer

4095,4095,4095,4095,4095,1.36,0.58,-1.38,-0.46,3.05,comer
4095,4095,4095,3825,4095,7.16,-0.65,-0.28,-1.24,3.56,comer
4095,4095,3765,3451,4095,7.42,-0.91,4.31,0.27,1.05,comer
4095,4052,3452,3455,4095,9.47,0.18,-1.48,-0.91,-2.04,comer
4095,4093,3451,3578,4095,12.07,2.09,-3.32,-0.04,1.55,comer
4095,4063,3706,3469,4095,7.84,-0.26,3.67,0.99,2.18,comer
4095,4071,3676,3536,4095,9.72,1.87,-0.61,-0.94,-3.00,comer
4095,4095,3785,3543,4095,12.70,0.38,-2.39,1.08,2.31,comer
4095,3990,4095,3554,4095,7.60,-1.82,6.32,1.30,1.46,comer
4095,3911,4095,3636,4095,6.22,0.03,4.33,0.16,-1.96,comer
4095,3883,4095,3505,4095,6.23,1.67,-0.60,-0.17,-4.37,comer
4095,3934,4095,4095,4095,9.28,3.74,-7.34,0.82,-4.37,comer
4095,4095,4095,4095,4095,6.37,5.07,-13.17,0.67,-1.06,comer
4095,4095,4095,4095,4095,5.69,3.24,-8.37,0.37,-0.39,comer
4095,4095,4095,4095,4095,5.02,2.72,-9.16,0.23,-0.11,comer

4095,4016,4095,4095,4095,1.54,0.59,-1.58,-0.89,3.15,comer
4095,3953,3479,3644,4095,6.29,3.04,-3.53,-1.63,4.37,comer
4095,3632,3184,3366,4095,6.01,-2.20,6.99,0.38,1.10,comer
4095,3557,3108,3414,4047,9.92,0.49,-0.55,-0.29,-2.57,comer
4095,3570,3219,3469,3945,12.29,1.40,-1.94,-0.20,1.95,comer
4095,3653,3345,3315,3739,7.48,-1.28,6.45,0.70,0.35,comer
4095,3583,3274,3371,4016,11.73,5.01,-4.28,-0.72,-3.03,comer
4095,3606,3567,3394,4051,10.74,0.30,-1.35,1.39,3.59,comer
