flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
3729,3275,3127,3222,2710,1.94,-0.32,0.73,-0.32,0.39,escuela
3747,3278,3127,3221,2720,10.67,-1.48,3.48,-0.30,0.40,escuela
3759,3278,3152,3189,2718,8.68,-3.10,3.57,0.15,0.20,escuela
3769,3278,3184,3199,2717,7.99,-2.85,3.03,0.81,-0.32,escuela
3767,3289,3227,3198,2723,8.52,-0.53,1.69,0.95,-0.38,escuela
3781,3310,3264,3184,2710,8.90,1.10,1.22,0.97,-0.27,escuela
3781,3317,3231,3152,2733,9.45,1.78,1.82,1.17,-0.27,escuela
3795,3312,3221,3162,2718,9.53,2.23,1.72,1.17,-0.74,escuela
3807,3318,3202,3162,2721,9.77,3.41,1.22,0.87,-0.49,escuela
3827,3313,3206,3161,2719,10.17,4.17,0.76,0.43,-0.17,escuela
3806,3311,3167,3161,2707,10.06,4.22,0.08,0.37,0.06,escuela
3799,3299,3170,3171,2713,11.28,3.32,2.64,-0.42,0.16,escuela
3806,3310,3154,3185,2749,11.36,1.93,2.70,-1.82,0.57,escuela
3805,3302,3127,3216,2742,10.36,0.03,1.85,-1.75,0.64,escuela
3803,3323,3168,3219,2768,8.48,-1.71,3.52,-0.68,0.43,escuela

3620,3179,2992,3063,2625,1.75,-0.26,0.55,-0.13,0.22,escuela
3569,3184,2943,3059,2608,9.64,-1.14,2.75,-0.26,0.08,escuela
3546,3168,2943,3059,2603,10.43,-1.01,3.35,-0.22,0.21,escuela
3545,3179,2931,3063,2605,10.20,-2.05,3.54,-0.24,0.30,escuela
3535,3189,2949,3093,2599,10.06,-3.22,4.30,-0.13,0.42,escuela
3542,3191,2975,3093,2597,8.66,-3.88,3.88,0.46,0.19,escuela
3579,3215,2998,3120,2612,8.11,-2.60,2.86,1.00,-0.10,escuela
3600,3235,3114,3141,2645,7.54,-1.51,2.63,1.34,-0.29,escuela
3600,3219,3147,3132,2620,8.03,1.50,2.15,1.29,-0.33,escuela
3583,3218,3142,3121,2611,8.73,3.60,3.03,1.14,-0.36,escuela
3617,3233,3120,3108,2613,9.23,3.71,3.06,0.55,-0.62,escuela
3599,3244,3091,3120,2623,10.27,3.87,2.26,0.15,-0.69,escuela
3583,3247,3059,3122,2621,10.21,3.35,1.65,-0.40,-0.26,escuela
3617,3254,3053,3122,2620,11.42,3.72,1.45,-0.51,-0.14,escuela
3602,3254,3056,3139,2625,11.03,2.37,1.64,-1.05,0.23,escuela

3728,3347,3087,3303,2672,1.84,-0.30,0.63,-0.18,0.06,escuela
3737,3347,3071,3283,2675,10.28,-1.73,3.52,-0.09,0.23,escuela
3754,3346,3058,3266,2681,9.11,-3.50,4.09,-0.19,0.23,escuela
3750,3347,3108,3262,2687,9.14,-3.21,3.65,0.46,0.07,escuela
3767,3367,3120,3261,2686,8.42,-2.38,2.68,1.06,-0.10,escuela
3785,3373,3207,3289,2668,8.31,-0.89,2.55,1.44,-0.12,escuela
3753,3370,3278,3275,2659,8.64,0.97,2.35,1.23,-0.04,escuela
